,Tweets
0,"['these', 'people', 'studied', 'measured', 'real', 'covid', 'assessed', 'instead', 'assumed', 'higher', 'covid', 'that', 'big', 'assumption']"
1,"['really', 'worried', 'summer', 'lot', 'people', 'completely', 'end', 'ropes', 'temperature', 'covid', 'political', 'rhetoric', 'cost', 'everything', 'continue', 'rise']"
2,"['covid', 'would', 'otherwise', 'slow', 'many']"
3,"['can', 'take', 'credit', 'back', 'regular', 'employment', 'covid', 'unemployment', 'ran']"
4,"['red', 'bull', 'positive', 'covid']"
5,"['vice', 'president', 'much', 'forthcoming', 'getting', 'covid', 'even', 'asymptomatic', 'because', 'she', 'next', 'in', 'line', 'how', 'can', 'these', 'people', 'not', 'get', 'it']"
6,"['good', 'military', 'what', 'made', 'think', 'get', 'away', 'covid']"
7,"['like', 'one', 'encourage', 'unmarried', 'son', 'problem', 'living', 'reckless', 'family', 'br', 'almost', 'giving', 'covid', 'aunt', 'coddle', 'male', 'ego', 'mean', 'good', 'relationship']"
8,"['thank', 'wearing', 'when', 'mask', 'place', 'many', 'people', 'wear', 'even', 'every', 'single', 'person', 'mask', 'vastly', 'increase', 'number', 'people', 'stop', 'covid', 'transmission', 'save']"
9,"['no', 'vaccine', 'like', 'covid', 'vaccine', 'need', 'understand', 'science', 'unlike']"
10,"['living', 'covid']"
11,"['the', 'fatigue', 'covid', 'given', 'unreal', 'feel', 'drained', 'time', 'and', 'like', 'said', 'al', 'thought', 'cough', 'better', 'entirely', 'gone', 'get', 'really', 'dry', 'throat', 'days', 'long', 'covid']"
12,"['weekly', 'trustee', 'update', 'mailed', 'virtual', 'education', 'day', 'global', 'accessibility', 'awareness', 'day', 'genocide', 'education', 'week', 'covid', 'committee', 'meeting', 'ward', 'budget', 'deficit', 'recovery', 'plan']"
13,"['call', 'miscalculation', 'help', 'we', 'people', 'hoax', 'covid', 'exist', 'lost', 'respect', 'counteract', 'lie', 'instead', 'leaving', 'might', 'effective', 'it', 'would', 'definitely', 'courageous']"
14,"['we', 'mass', 'covid', 'control', 'rainbow', 'perfect', 'save', 'going', 'mall', 'shopping']"
15,"['no', 'covid']"
16,"['eaten', 'nearly', 'much', 'lately', 'got', 'habit', 'covid', 'but', 'yeah', 'always', 'like', 'splurge', 'tornado', 'filet', 'yearly', 'splurge', 'always', 'right']"
17,"['the', 'diagram', 'people', 'worried', 'great', 'replacement', 'people', 'million', 'covid', 'circle']"
18,"['like', 'covid', 'thing', 'me', 'thing', 'feel', 'like', 'virus', 'affected', 'emotionally', 'feel', 'like', 'new', 'low', 'mental', 'health', 'wise']"
19,"['thanks', 'good', 'there', 'daily', 'risk', 'thought', 'contribute', 'long', 'covid']"
20,"['you', 'right', 'covid', 'definitely', 'available', 'many', 'people', 'neither', 'rich', 'connected', 'all', 'ca', 'able', 'get', 'easily', 'one', 'got', 'covid', 'traveling', 'got', 'within', 'couple', 'rapid', 'testing', 'positive']"
21,"['china', 'get', 'single', 'decision', 'right', 'covid']"
22,"['interestingly', 'enough', 'one', 'tactics', 'equate', 'covid', 'control', 'measure', 'china', 'brutal', 'ineffective', 'they', 'however', 'never', 'address', 'japan', 'successful', 'control', 'covid', 'done', 'smart', 'use', 'without']"
23,"['course', 'testing', 'tracing', 'isolating', 'do', 'think', 'without', 'proper', 'infrastructure', 'and', 'ventilation', 'many', 'zero', 'covid', 'believe', 'ventilation', 'would', 'resolve', 'issue', 'way', 'complex']"
