item	support
{'238', '10'}	5
{'10', '413'}	5
{'10', '112'}	5
{'403', '10'}	5
{'172', '10'}	5
{'185', '10'}	5
{'10', '215'}	5
{'10', '384'}	5
{'380', '10'}	5
{'57', '10'}	5
{'26', '10'}	5
{'92', '10'}	5
{'40', '10'}	6
{'378', '10'}	6
{'97', '10'}	6
{'221', '10'}	6
{'219', '10'}	6
{'88', '10'}	6
{'156', '10'}	6
{'51', '10'}	7
{'6', '10'}	7
{'10', '105'}	8
{'33', '10'}	10
{'227', '10'}	12
{'10', '28'}	16
{'165', '10'}	17
{'10'}	100
