,Tweets
0,"['these', 'people', 'studied', 'measured', 'real', 'covid', 'assessed', 'instead', 'assumed', 'higher', 'covid', 'that', 'big', 'assumption']"
1,"['really', 'worried', 'summer', 'lot', 'people', 'completely', 'end', 'ropes', 'temperature', 'covid', 'political', 'rhetoric', 'cost', 'everything', 'continue', 'rise']"
2,"['covid', 'would', 'otherwise', 'slow', 'many']"
3,"['can', 'take', 'credit', 'back', 'regular', 'employment', 'covid', 'unemployment', 'ran']"
4,"['vice', 'president', 'much', 'forthcoming', 'getting', 'covid', 'even', 'asymptomatic', 'because', 'she', 'next', 'in', 'line', 'how', 'can', 'these', 'people', 'not', 'get', 'it']"
5,"['good', 'military', 'what', 'made', 'think', 'get', 'away', 'covid']"
6,"['like', 'one', 'encourage', 'unmarried', 'son', 'problem', 'living', 'reckless', 'family', 'br', 'almost', 'giving', 'covid', 'aunt', 'coddle', 'male', 'ego', 'mean', 'good', 'relationship']"
7,"['thank', 'wearing', 'when', 'mask', 'place', 'many', 'people', 'wear', 'even', 'every', 'single', 'person', 'mask', 'vastly', 'increase', 'number', 'people', 'stop', 'covid', 'transmission', 'save']"
8,"['no', 'vaccine', 'like', 'covid', 'vaccine', 'need', 'understand', 'science', 'unlike']"
9,"['living', 'covid']"
10,"['the', 'fatigue', 'covid', 'given', 'unreal', 'feel', 'drained', 'time', 'and', 'like', 'said', 'al', 'thought', 'cough', 'better', 'entirely', 'gone', 'get', 'really', 'dry', 'throat', 'days', 'long', 'covid']"
11,"['let', 'forget', 'people', 'concerned', 'climate', 'fly', 'private', 'everywhere', 'judge', 'say', 'covid']"
12,"['how', 'bad', 'situation', 'china', 'zero', 'covid', 'enforcement', 'search', 'immigrate', 'rose', 'seen', 'next', 'best', 'place', 'migrate', 'canada']"
13,"['weekly', 'trustee', 'update', 'mailed', 'virtual', 'education', 'day', 'global', 'accessibility', 'awareness', 'day', 'genocide', 'education', 'week', 'covid', 'committee', 'meeting', 'ward', 'budget', 'deficit', 'recovery', 'plan']"
14,"['call', 'miscalculation', 'help', 'we', 'people', 'hoax', 'covid', 'exist', 'lost', 'respect', 'counteract', 'lie', 'instead', 'leaving', 'might', 'effective', 'it', 'would', 'definitely', 'courageous']"
15,"['we', 'mass', 'covid', 'control', 'rainbow', 'perfect', 'save', 'going', 'mall', 'shopping']"
16,"['no', 'covid']"
17,"['eaten', 'nearly', 'much', 'lately', 'got', 'habit', 'covid', 'but', 'yeah', 'always', 'like', 'splurge', 'tornado', 'filet', 'yearly', 'splurge', 'always', 'right']"
18,"['the', 'diagram', 'people', 'worried', 'great', 'replacement', 'people', 'million', 'covid', 'circle']"
19,"['like', 'covid', 'thing', 'me', 'thing', 'feel', 'like', 'virus', 'affected', 'emotionally', 'feel', 'like', 'new', 'low', 'mental', 'health', 'wise']"
20,"['thanks', 'good', 'there', 'daily', 'risk', 'thought', 'contribute', 'long', 'covid']"
21,"['you', 'right', 'covid', 'definitely', 'available', 'many', 'people', 'neither', 'rich', 'connected', 'all', 'ca', 'able', 'get', 'easily', 'one', 'got', 'covid', 'traveling', 'got', 'within', 'couple', 'rapid', 'testing', 'positive']"
22,"['china', 'get', 'single', 'decision', 'right', 'covid']"
23,"['interestingly', 'enough', 'one', 'tactics', 'equate', 'covid', 'control', 'measure', 'china', 'brutal', 'ineffective', 'they', 'however', 'never', 'address', 'japan', 'successful', 'control', 'covid', 'done', 'smart', 'use', 'without']"
